pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
TOI-2120 b,TOI-2120,5.7998164,0.0377,2.122,6.8,3.61,384.0,3131.0,0.245,0.211,Transit,2024.0,0,32.1755
TOI-2128 b,TOI-2128,16.34136,0.127,2.08874836,4.5,86.2315,780.53,5968.0,1.1174,1.0251,Transit,2024.0,0,36.578
TOI-2133 b,TOI-2133,3.8266472,0.041,2.37,6.21,81.1072,798.0,4250.0,0.62,0.644,Transit,2026.0,0,75.1973
TOI-2134 b,TOI-2134,9.2292005,0.078,2.69,9.13,32.0,666.0,4580.0,0.709,0.744,Transit,2023.0,0,22.6202
TOI-2134 c,TOI-2134,95.5,0.371,7.27,41.89,1.4,306.0,4580.0,0.709,0.744,Transit,2023.0,0,22.6202
TOI-2136 b,TOI-2136,7.851928,0.057,2.19,6.37,4.0,395.0,3342.0,0.34,0.34,Transit,2022.0,0,33.3631
TOI-2141 b,TOI-2141,18.261608,0.1322,3.147,20.1,47.3,728.0,5635.0,0.95,0.896,Transit,2023.0,0,77.682
TOI-2141 c,TOI-2141,5.4624,0.0585,2.35,6.14,241.0,1095.0,5635.0,0.95,0.896,Radial Velocity,2025.0,0,77.682
TOI-2141 d,TOI-2141,60.45,0.2906,3.97,14.9,9.8,491.4,5635.0,0.95,0.896,Radial Velocity,2025.0,0,77.682
TOI-2145 b,TOI-2145,10.261128,0.1117,12.24020692,1805.26535176,515.939,1484.0,6206.0,2.75,1.71,Transit,2023.0,0,224.731
TOI-2152 A b,TOI-2152,3.3773512,0.05064,14.35870428,899.45439181,2195.7879,1802.0,6630.0,1.612,1.516,Transit,2023.0,0,303.006
TOI-2154 b,TOI-2154,3.8240801,0.0513,16.28664896,292.40213444,1005.8946,1580.0,6280.0,1.396,1.233,Transit,2023.0,0,296.46
TOI-2158 b,TOI-2158,8.60077,0.075,10.76062147,260.61929374,81.4989,1188.0,5673.0,1.41,1.12,Transit,2022.0,0,198.473
TOI-216.01,TOI-216,34.525528,0.2069,10.1,177.98390792,10.1,497.0,5026.0,0.748,0.77,Transit,2019.0,0,177.945
TOI-216.02,TOI-216,17.16073,0.1293,8.0,18.75187601,25.9,628.0,5026.0,0.748,0.77,Transit,2019.0,0,177.945
TOI-2169 A b,TOI-2169 A,8.2148282,0.0896,12.50922246,329.58805806,577.0,1364.0,6270.0,1.82,1.42,Transit,2025.0,0,351.487
TOI-2180 b,TOI-2180,260.79,0.828,11.32107051,875.61726129,2.71,348.0,5695.0,1.636,1.111,Transit,2022.0,0,116.685
TOI-2184 b,TOI-2184,6.90683,,11.39953337,206.58846455,1429.0,1676.05,5966.0,2.9,1.53,Transit,2022.0,0,788.317
TOI-2193 A b,TOI-2193 A,2.1225735,0.03319,19.83989584,298.75870258,1600.0,1763.0,5966.0,1.248,1.082,Transit,2022.0,0,337.064
TOI-2194 b,TOI-2194,15.337597,,1.9892,4.61,14.2526,590.88,4756.0,0.6909,0.74,Transit,2023.0,0,19.5711
TOI-2196 b,TOI-2196,1.1947268,0.02234,3.51,26.0,2000.0,1860.0,5634.0,1.043,1.032,Transit,2022.0,0,259.947
